impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
serial,upper,2048,0.010,0.070,3372,90,32,7
cuda,upper,2048,132.077,0.17913,98548,90,32,7
serial,lower,2048,0.007,0.083,3420,90,32,7
cuda,lower,2048,132.563,0.138197,98660,90,32,7
serial,upper,4096,0.003,0.073,3336,0,32,0
cuda,upper,4096,137.738,0.153173,98600,0,32,0
serial,lower,4096,0.002,0.085,3412,0,32,0
cuda,lower,4096,130.85,0.191121,98384,0,32,0
serial,upper,4096,0.003,0.065,3408,0,32,7
cuda,upper,4096,136.661,0.143827,98656,0,32,7
serial,lower,4096,0.002,0.072,3404,0,32,7
cuda,lower,4096,132.458,0.160938,98368,0,32,7
serial,upper,4096,0.003,0.070,3252,10,32,0
cuda,upper,4096,132.87,0.152032,98360,10,32,0
serial,lower,4096,0.003,0.080,3320,10,32,0
cuda,lower,4096,131.567,0.15695,98656,10,32,0
serial,upper,4096,0.003,0.058,3408,10,32,7
cuda,upper,4096,129.4,0.144899,98300,10,32,7
serial,lower,4096,0.003,0.086,3384,10,32,7
cuda,lower,4096,133.418,0.157162,98112,10,32,7
serial,upper,4096,0.008,0.063,3388,20,32,0
cuda,upper,4096,134.952,0.149678,98464,20,32,0
serial,lower,4096,0.007,0.066,3304,20,32,0
cuda,lower,4096,131.318,0.166657,98156,20,32,0
serial,upper,4096,0.008,0.068,3420,20,32,7
cuda,upper,4096,132.116,0.166748,98252,20,32,7
serial,lower,4096,0.005,0.087,3296,20,32,7
cuda,lower,4096,132.471,0.17356,98328,20,32,7
serial,upper,4096,0.011,0.111,3304,30,32,0
cuda,upper,4096,132.101,0.144268,98356,30,32,0
serial,lower,4096,0.007,0.071,3032,30,32,0
cuda,lower,4096,133.424,0.152472,98568,30,32,0
serial,upper,4096,0.011,0.072,3296,30,32,7
cuda,upper,4096,131.337,0.172018,98168,30,32,7
serial,lower,4096,0.007,0.075,3368,30,32,7
cuda,lower,4096,132.162,0.165917,98652,30,32,7
serial,upper,4096,0.008,0.105,3420,40,32,0
cuda,upper,4096,132.118,0.151701,98472,40,32,0
serial,lower,4096,0.008,0.077,3380,40,32,0
cuda,lower,4096,131.889,0.147604,98352,40,32,0
serial,upper,4096,0.013,0.062,3420,40,32,7
cuda,upper,4096,131.911,0.147333,98560,40,32,7
serial,lower,4096,0.009,0.083,3420,40,32,7
cuda,lower,4096,133.121,0.152463,98540,40,32,7
serial,upper,4096,0.014,0.077,3356,50,32,0
cuda,upper,4096,132.366,0.152862,98588,50,32,0
serial,lower,4096,0.009,0.127,3368,50,32,0
cuda,lower,4096,133.12,0.149257,98380,50,32,0
serial,upper,4096,0.016,0.105,3288,50,32,7
cuda,upper,4096,128.806,0.147474,98496,50,32,7
serial,lower,4096,0.021,0.088,3404,50,32,7
