impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
cuda,lower,4194304,134.666,11.6205,107684,60,32,7
serial,upper,4194304,11.689,4.133,7756,70,32,0
cuda,upper,4194304,135.186,12.7338,107284,70,32,0
serial,lower,4194304,11.899,4.502,7380,70,32,0
cuda,lower,4194304,139.045,11.6386,107576,70,32,0
serial,upper,4194304,11.767,4.168,7544,70,32,7
cuda,upper,4194304,135.38,12.4254,107584,70,32,7
serial,lower,4194304,11.874,3.864,7728,70,32,7
cuda,lower,4194304,136.412,10.27,107324,70,32,7
serial,upper,4194304,13.494,4.108,7644,80,32,0
cuda,upper,4194304,135.053,13.9743,107340,80,32,0
serial,lower,4194304,13.466,3.864,7740,80,32,0
cuda,lower,4194304,137.568,11.2035,107536,80,32,0
serial,upper,4194304,13.160,4.279,7392,80,32,7
cuda,upper,4194304,131.326,12.7695,107332,80,32,7
serial,lower,4194304,13.477,4.218,7560,80,32,7
cuda,lower,4194304,134.358,11.4119,107436,80,32,7
serial,upper,4194304,14.538,3.366,7256,90,32,0
cuda,upper,4194304,137.775,12.1008,107116,90,32,0
serial,lower,4194304,15.255,3.904,7712,90,32,0
cuda,lower,4194304,134.434,12.052,107148,90,32,0
serial,upper,4194304,14.567,4.504,7236,90,32,7
cuda,upper,4194304,135.269,13.0062,107500,90,32,7
serial,lower,4194304,14.754,3.839,7748,90,32,7
cuda,lower,4194304,134.768,10.9477,107560,90,32,7
serial,upper,8388608,4.612,9.027,11592,0,32,0
cuda,upper,8388608,156.651,25.5504,114708,0,32,0
serial,lower,8388608,4.497,9.704,11848,0,32,0
cuda,lower,8388608,138.472,23.6726,115632,0,32,0
serial,upper,8388608,4.414,8.985,11768,0,32,7
cuda,upper,8388608,139.25,23.9276,115868,0,32,7
serial,lower,8388608,4.217,9.451,11688,0,32,7
cuda,lower,8388608,136.611,22.3064,115972,0,32,7
serial,upper,8388608,6.140,8.635,11468,10,32,0
cuda,upper,8388608,138.055,24.2891,115608,10,32,0
serial,lower,8388608,7.074,8.588,11740,10,32,0
cuda,lower,8388608,133.605,22.5377,115784,10,32,0
serial,upper,8388608,6.435,9.127,11412,10,32,7
cuda,upper,8388608,143.978,29.0722,115372,10,32,7
serial,lower,8388608,6.855,8.349,11528,10,32,7
cuda,lower,8388608,147.097,23.1325,115420,10,32,7
serial,upper,8388608,8.740,10.103,11288,20,32,0
cuda,upper,8388608,138.225,27.2508,115516,20,32,0
serial,lower,8388608,9.368,8.549,11848,20,32,0
cuda,lower,8388608,139.195,21.1922,115920,20,32,0
serial,upper,8388608,8.649,8.672,11384,20,32,7
cuda,upper,8388608,147.335,26.1333,115652,20,32,7
serial,lower,8388608,9.818,9.321,11844,20,32,7
cuda,lower,8388608,138.633,24.5525,115948,20,32,7
serial,upper,8388608,11.026,8.680,11716,30,32,0
cuda,upper,8388608,135.188,23.565,115840,30,32,0
serial,lower,8388608,12.033,8.467,11676,30,32,0
cuda,lower,8388608,132.905,22.4996,115752,30,32,0
serial,upper,8388608,11.167,8.935,11456,30,32,7
cuda,upper,8388608,136.83,25.1494,115688,30,32,7
serial,lower,8388608,12.246,8.978,11616,30,32,7
cuda,lower,8388608,139.931,23.3826,115640,30,32,7
serial,upper,8388608,13.846,9.035,11692,40,32,0
cuda,upper,8388608,137.309,23.3229,115964,40,32,0
serial,lower,8388608,15.063,8.596,11724,40,32,0
cuda,lower,8388608,144.638,24.3115,115496,40,32,0
serial,upper,8388608,15.228,8.549,11656,40,32,7
cuda,upper,8388608,132.724,25.9095,115956,40,32,7
serial,lower,8388608,14.594,8.326,11616,40,32,7
cuda,lower,8388608,135.233,21.8341,115844,40,32,7
serial,upper,8388608,17.143,8.867,11256,50,32,0
cuda,upper,8388608,138.929,27.2365,115676,50,32,0
serial,lower,8388608,17.886,8.455,11756,50,32,0
cuda,lower,8388608,133.261,22.8378,115808,50,32,0
serial,upper,8388608,17.011,9.609,11752,50,32,7
cuda,upper,8388608,142.834,26.326,115680,50,32,7
serial,lower,8388608,17.667,9.541,11692,50,32,7
cuda,lower,8388608,149.136,24.5633,115484,50,32,7
serial,upper,8388608,20.470,9.093,11516,60,32,0
cuda,upper,8388608,137.601,24.7693,115192,60,32,0
serial,lower,8388608,22.429,9.716,11344,60,32,0
cuda,lower,8388608,139.384,26.5241,115544,60,32,0
serial,upper,8388608,21.241,10.232,11536,60,32,7
cuda,upper,8388608,144.275,26.6643,115796,60,32,7
serial,lower,8388608,21.590,9.242,11660,60,32,7
cuda,lower,8388608,140.541,24.1792,115976,60,32,7
serial,upper,8388608,23.956,9.736,11108,70,32,0
cuda,upper,8388608,142.498,26.9552,115348,70,32,0
serial,lower,8388608,24.496,9.832,11808,70,32,0
cuda,lower,8388608,146.148,25.3398,115640,70,32,0
serial,upper,8388608,24.064,9.216,11660,70,32,7
cuda,upper,8388608,149.923,26.229,115732,70,32,7
serial,lower,8388608,25.857,10.454,11740,70,32,7
cuda,lower,8388608,151.068,26.068,115868,70,32,7
serial,upper,8388608,26.356,8.692,11760,80,32,0
cuda,upper,8388608,141.769,25.7221,115284,80,32,0
serial,lower,8388608,27.683,9.802,11460,80,32,0
cuda,lower,8388608,138.757,24.4373,115956,80,32,0
serial,upper,8388608,26.704,8.953,11484,80,32,7
cuda,upper,8388608,136.522,24.5033,115992,80,32,7
serial,lower,8388608,28.244,9.767,11648,80,32,7
cuda,lower,8388608,154.359,26.6889,115392,80,32,7
serial,upper,8388608,29.566,12.635,11616,90,32,0
cuda,upper,8388608,136.82,30.0289,115724,90,32,0
serial,lower,8388608,29.391,8.933,11580,90,32,0
cuda,lower,8388608,134.34,23.2413,116008,90,32,0
serial,upper,8388608,29.112,9.646,11760,90,32,7
cuda,upper,8388608,140.041,25.8235,115652,90,32,7
serial,lower,8388608,29.840,9.659,11836,90,32,7
cuda,lower,8388608,138.467,23.9217,115856,90,32,7
serial,upper,16777216,8.817,20.466,19928,0,32,0
cuda,upper,16777216,139.538,48.3883,132012,0,32,0
serial,lower,16777216,8.630,18.595,19616,0,32,0
cuda,lower,16777216,138.999,47.5412,132156,0,32,0
serial,upper,16777216,8.872,19.242,20044,0,32,7
cuda,upper,16777216,139.72,50.046,132236,0,32,7
serial,lower,16777216,8.281,18.549,19904,0,32,7
cuda,lower,16777216,138.956,47.6353,131796,0,32,7
serial,upper,16777216,12.557,19.546,19860,10,32,0
cuda,upper,16777216,141.805,48.9032,132012,10,32,0
serial,lower,16777216,13.042,18.306,20044,10,32,0
cuda,lower,16777216,137.044,46.2207,132252,10,32,0
serial,upper,16777216,12.612,18.078,19844,10,32,7
cuda,upper,16777216,139.882,48.722,132340,10,32,7
serial,lower,16777216,13.201,22.973,19672,10,32,7
cuda,lower,16777216,138.1,50.6039,132268,10,32,7
serial,upper,16777216,16.310,17.468,19792,20,32,0
cuda,upper,16777216,142.489,46.5724,132188,20,32,0
serial,lower,16777216,17.849,17.208,20036,20,32,0
cuda,lower,16777216,137.342,43.2483,132236,20,32,0
serial,upper,16777216,16.092,17.078,19868,20,32,7
cuda,upper,16777216,140.336,46.8351,132288,20,32,7
serial,lower,16777216,18.179,17.932,20004,20,32,7
cuda,lower,16777216,138.275,46.363,132144,20,32,7
serial,upper,16777216,21.167,18.802,19884,30,32,0
cuda,upper,16777216,143.261,49.9686,132072,30,32,0
serial,lower,16777216,23.038,17.709,19896,30,32,0
cuda,lower,16777216,140.662,50.3369,132012,30,32,0
serial,upper,16777216,22.337,17.678,19872,30,32,7
cuda,upper,16777216,137.569,50.6901,132264,30,32,7
serial,lower,16777216,22.819,17.082,19968,30,32,7
cuda,lower,16777216,143.532,47.8544,132072,30,32,7
serial,upper,16777216,26.581,18.598,19992,40,32,0
cuda,upper,16777216,138.386,48.0752,132240,40,32,0
serial,lower,16777216,28.064,17.895,19528,40,32,0
cuda,lower,16777216,136.161,46.0635,131864,40,32,0
serial,upper,16777216,26.529,17.200,20036,40,32,7
cuda,upper,16777216,135.937,48.1162,132304,40,32,7
serial,lower,16777216,28.314,16.344,19580,40,32,7
cuda,lower,16777216,134.869,45.2258,131980,40,32,7
serial,upper,16777216,32.573,17.704,20016,50,32,0
cuda,upper,16777216,142.296,49.9843,132280,50,32,0
serial,lower,16777216,33.603,16.896,19944,50,32,0
cuda,lower,16777216,139.239,46.9355,132168,50,32,0
serial,upper,16777216,33.435,18.376,19812,50,32,7
cuda,upper,16777216,137.976,46.7913,131788,50,32,7
serial,lower,16777216,33.739,18.986,19940,50,32,7
cuda,lower,16777216,137.443,46.7657,132164,50,32,7
serial,upper,16777216,38.230,17.809,19900,60,32,0
cuda,upper,16777216,140.43,48.6112,131876,60,32,0
serial,lower,16777216,41.808,19.017,19696,60,32,0
cuda,lower,16777216,143.411,46.5124,132196,60,32,0
serial,upper,16777216,39.830,19.784,19780,60,32,7
cuda,upper,16777216,142.975,48.5334,132240,60,32,7
serial,lower,16777216,41.369,18.520,19880,60,32,7
cuda,lower,16777216,140.238,47.1302,132160,60,32,7
serial,upper,16777216,45.753,17.210,19872,70,32,0
cuda,upper,16777216,139.454,52.3728,131508,70,32,0
serial,lower,16777216,47.945,18.806,19872,70,32,0
cuda,lower,16777216,137.524,45.6934,132268,70,32,0
serial,upper,16777216,47.075,19.454,19712,70,32,7
cuda,upper,16777216,139.651,49.6561,132152,70,32,7
serial,lower,16777216,50.899,19.161,19868,70,32,7
cuda,lower,16777216,136.872,48.1762,132276,70,32,7
serial,upper,16777216,56.180,19.172,19500,80,32,0
cuda,upper,16777216,138.323,48.7219,131984,80,32,0
serial,lower,16777216,57.193,20.298,19544,80,32,0
cuda,lower,16777216,139.378,51.0414,132256,80,32,0
serial,upper,16777216,52.444,18.323,19864,80,32,7
cuda,upper,16777216,140.621,47.7923,132172,80,32,7
serial,lower,16777216,53.795,17.534,19796,80,32,7
cuda,lower,16777216,140.061,46.5036,132328,80,32,7
serial,upper,16777216,57.813,19.618,19884,90,32,0
cuda,upper,16777216,141.4,51.005,131728,90,32,0
serial,lower,16777216,56.561,18.223,19816,90,32,0
cuda,lower,16777216,142.665,45.0202,131660,90,32,0
serial,upper,16777216,56.541,17.932,19740,90,32,7
cuda,upper,16777216,142.575,49.7935,132472,90,32,7
serial,lower,16777216,59.889,19.682,19832,90,32,7
cuda,lower,16777216,143.785,52.3964,132316,90,32,7
serial,upper,33554432,17.680,34.235,35820,0,32,0
cuda,upper,33554432,145.341,97.3404,164564,0,32,0
serial,lower,33554432,16.709,38.818,36244,0,32,0
cuda,lower,33554432,148.158,98.6448,165072,0,32,0
serial,upper,33554432,17.090,38.282,36076,0,32,7
cuda,upper,33554432,147.417,99.2586,165060,0,32,7
serial,lower,33554432,16.778,36.384,36164,0,32,7
cuda,lower,33554432,143.038,97.1874,164744,0,32,7
serial,upper,33554432,24.317,37.661,36132,10,32,0
cuda,upper,33554432,144.664,101.156,164964,10,32,0
serial,lower,33554432,27.409,37.953,36280,10,32,0
cuda,lower,33554432,142.668,99.229,164868,10,32,0
serial,upper,33554432,25.204,40.297,36068,10,32,7
cuda,upper,33554432,144.868,111.348,164956,10,32,7
serial,lower,33554432,26.623,37.168,36376,10,32,7
cuda,lower,33554432,143.559,98.8903,164632,10,32,7
serial,upper,33554432,33.562,38.200,36308,20,32,0
cuda,upper,33554432,148.26,102.628,165132,20,32,0
serial,lower,33554432,38.088,36.845,36336,20,32,0
cuda,lower,33554432,140.804,97.7692,164624,20,32,0
serial,upper,33554432,34.396,36.643,36412,20,32,7
cuda,upper,33554432,145.22,108.418,164968,20,32,7
serial,lower,33554432,36.759,35.560,36248,20,32,7
cuda,lower,33554432,152.317,104.369,165136,20,32,7
serial,upper,33554432,42.928,39.302,36144,30,32,0
cuda,upper,33554432,143.814,102.24,165008,30,32,0
serial,lower,33554432,47.509,36.844,36168,30,32,0
cuda,lower,33554432,143.012,98.5232,164936,30,32,0
serial,upper,33554432,44.484,36.663,36336,30,32,7
cuda,upper,33554432,142.016,99.8708,164772,30,32,7
serial,lower,33554432,48.580,40.099,36232,30,32,7
cuda,lower,33554432,140.137,95.956,165068,30,32,7
serial,upper,33554432,52.661,36.493,36168,40,32,0
cuda,upper,33554432,144.574,99.9271,164752,40,32,0
serial,lower,33554432,56.375,36.610,36236,40,32,0
cuda,lower,33554432,142.681,99.3863,165008,40,32,0
serial,upper,33554432,52.644,36.558,36268,40,32,7
cuda,upper,33554432,147.526,99.7419,165132,40,32,7
serial,lower,33554432,57.923,33.696,36100,40,32,7
cuda,lower,33554432,142.731,97.6518,165068,40,32,7
serial,upper,33554432,66.545,38.575,36420,50,32,0
cuda,upper,33554432,143.295,103.56,164660,50,32,0
serial,lower,33554432,70.140,38.486,36144,50,32,0
cuda,lower,33554432,148.817,103.833,164796,50,32,0
serial,upper,33554432,64.158,36.350,36356,50,32,7
cuda,upper,33554432,144.037,101.033,164856,50,32,7
serial,lower,33554432,67.486,36.249,36388,50,32,7
cuda,lower,33554432,143.272,99.7905,164780,50,32,7
serial,upper,33554432,79.477,38.830,36416,60,32,0
cuda,upper,33554432,142.572,101.608,164748,60,32,0
serial,lower,33554432,79.796,33.917,36128,60,32,0
cuda,lower,33554432,141.569,95.706,164904,60,32,0
serial,upper,33554432,81.589,39.184,36380,60,32,7
cuda,upper,33554432,140.709,104.552,164768,60,32,7
serial,lower,33554432,80.564,36.014,36336,60,32,7
cuda,lower,33554432,144.57,97.5477,164908,60,32,7
serial,upper,33554432,89.540,37.347,36224,70,32,0
cuda,upper,33554432,144.459,101.811,164720,70,32,0
serial,lower,33554432,93.843,36.655,36312,70,32,0
cuda,lower,33554432,144.469,97.0667,164880,70,32,0
serial,upper,33554432,90.555,42.797,36364,70,32,7
cuda,upper,33554432,143.098,101.069,165060,70,32,7
serial,lower,33554432,92.780,36.336,36384,70,32,7
cuda,lower,33554432,143.963,96.4012,164952,70,32,7
serial,upper,33554432,103.472,35.221,36428,80,32,0
cuda,upper,33554432,144.745,107.553,164840,80,32,0
serial,lower,33554432,110.644,37.710,36376,80,32,0
cuda,lower,33554432,143.9,102.486,164704,80,32,0
serial,upper,33554432,106.955,42.034,36092,80,32,7
cuda,upper,33554432,145.552,105.102,164700,80,32,7
serial,lower,33554432,103.766,37.982,36236,80,32,7
cuda,lower,33554432,143.372,98.0232,164848,80,32,7
serial,upper,33554432,114.896,36.489,36076,90,32,0
cuda,upper,33554432,144.236,106.605,164948,90,32,0
serial,lower,33554432,117.518,37.888,36424,90,32,0
cuda,lower,33554432,143.64,98.9874,165084,90,32,0
serial,upper,33554432,111.740,39.895,36160,90,32,7
cuda,upper,33554432,142.209,98.3579,164756,90,32,7
serial,lower,33554432,117.363,37.415,36420,90,32,7
cuda,lower,33554432,142.058,98.4987,164692,90,32,7
serial,upper,67108864,35.118,76.100,68660,0,32,0
cuda,upper,67108864,206.767,201.133,230480,0,32,0
serial,lower,67108864,32.659,72.863,68956,0,32,0
cuda,lower,67108864,158.145,216.021,230304,0,32,0
serial,upper,67108864,35.048,76.184,69036,0,32,7
cuda,upper,67108864,158.099,201.035,230264,0,32,7
serial,lower,67108864,32.262,74.455,69144,0,32,7
cuda,lower,67108864,155.488,187.624,230456,0,32,7
serial,upper,67108864,48.789,75.441,68888,10,32,0
cuda,upper,67108864,201.407,204.164,230344,10,32,0
serial,lower,67108864,59.750,75.693,69136,10,32,0
cuda,lower,67108864,160.613,198.962,230172,10,32,0
serial,upper,67108864,46.782,73.816,68716,10,32,7
cuda,upper,67108864,151.527,206.092,230344,10,32,7
serial,lower,67108864,55.875,82.579,69088,10,32,7
cuda,lower,67108864,153.687,192.408,230244,10,32,7
serial,upper,67108864,66.416,75.672,68976,20,32,0
cuda,upper,67108864,152.743,196.223,230424,20,32,0
serial,lower,67108864,76.117,84.024,68944,20,32,0
cuda,lower,67108864,154.551,203.656,230236,20,32,0
serial,upper,67108864,64.823,71.643,68984,20,32,7
cuda,upper,67108864,212.892,199.438,230580,20,32,7
serial,lower,67108864,75.298,73.039,68900,20,32,7
cuda,lower,67108864,151.616,187.303,230628,20,32,7
serial,upper,67108864,87.641,72.711,68848,30,32,0
cuda,upper,67108864,153.757,194.672,230416,30,32,0
serial,lower,67108864,97.547,72.088,68776,30,32,0
cuda,lower,67108864,150.946,193.695,230724,30,32,0
serial,upper,67108864,88.103,74.781,69116,30,32,7
cuda,upper,67108864,152.64,193.532,230348,30,32,7
serial,lower,67108864,91.884,77.193,68916,30,32,7
cuda,lower,67108864,152.997,192.934,230636,30,32,7
serial,upper,67108864,105.646,72.144,69000,40,32,0
cuda,upper,67108864,214.817,193.788,230564,40,32,0
serial,lower,67108864,113.262,74.616,69084,40,32,0
cuda,lower,67108864,150.747,193.626,230332,40,32,0
serial,upper,67108864,108.949,74.144,69160,40,32,7
cuda,upper,67108864,213.541,191.468,230440,40,32,7
serial,lower,67108864,112.252,76.096,69036,40,32,7
cuda,lower,67108864,157.024,190.309,230276,40,32,7
serial,upper,67108864,129.007,74.765,69112,50,32,0
cuda,upper,67108864,166.782,194.302,230356,50,32,0
serial,lower,67108864,139.846,76.081,68964,50,32,0
cuda,lower,67108864,153.289,201.423,230352,50,32,0
serial,upper,67108864,132.652,70.781,68844,50,32,7
cuda,upper,67108864,155.42,200.648,230096,50,32,7
serial,lower,67108864,136.982,74.111,68988,50,32,7
cuda,lower,67108864,162.237,201.205,230748,50,32,7
serial,upper,67108864,156.893,75.087,68936,60,32,0
cuda,upper,67108864,152.804,195.998,230108,60,32,0
serial,lower,67108864,161.335,72.339,68980,60,32,0
cuda,lower,67108864,151.598,191.422,230596,60,32,0
serial,upper,67108864,153.096,75.528,69052,60,32,7
cuda,upper,67108864,212.178,197.77,230224,60,32,7
serial,lower,67108864,158.135,72.982,69192,60,32,7
cuda,lower,67108864,151.148,191.067,230176,60,32,7
serial,upper,67108864,179.663,71.657,68812,70,32,0
cuda,upper,67108864,211.676,193.688,230552,70,32,0
serial,lower,67108864,183.636,70.793,68932,70,32,0
cuda,lower,67108864,152.832,190.425,230424,70,32,0
serial,upper,67108864,179.094,75.021,69056,70,32,7
cuda,upper,67108864,157.686,197.947,230564,70,32,7
serial,lower,67108864,183.234,69.300,69108,70,32,7
cuda,lower,67108864,157.664,195.098,230680,70,32,7
serial,upper,67108864,202.654,73.964,68992,80,32,0
cuda,upper,67108864,154.304,202.545,230352,80,32,0
serial,lower,67108864,207.778,71.352,69152,80,32,0
cuda,lower,67108864,153.01,192.328,230456,80,32,0
serial,upper,67108864,205.558,71.275,68756,80,32,7
cuda,upper,67108864,209.095,196.871,230480,80,32,7
serial,lower,67108864,207.656,73.657,68836,80,32,7
cuda,lower,67108864,154.434,201.731,230776,80,32,7
serial,upper,67108864,220.207,72.427,68940,90,32,0
cuda,upper,67108864,153.435,197.783,230352,90,32,0
serial,lower,67108864,224.932,73.564,68956,90,32,0
cuda,lower,67108864,153.882,189.789,230204,90,32,0
serial,upper,67108864,220.951,70.640,69084,90,32,7
cuda,upper,67108864,211.295,205.883,230288,90,32,7
serial,lower,67108864,226.651,76.410,68952,90,32,7
cuda,lower,67108864,154.06,186.445,230384,90,32,7
